Collection,Scanner,Ballot id,Contest,Selections
pbc1,scanner1,bid1,con2,sel4
pbc1,scanner1,bid4,con2,sel1
pbc1,scanner1,bid4,con1,sel2
pbc1,scanner1,bid5,con1,sel2
pbc1,scanner1,bid7,con2,sel3
pbc1,scanner1,bid7,con1,sel2
pbc1,scanner1,bid8,con1,sel1
pbc1,scanner1,bid9,con2,sel3
pbc1,scanner1,bid9,con1,sel1
pbc1,scanner1,bid10,con1,sel1
pbc1,scanner1,bid11,con2,sel1
pbc1,scanner1,bid12,con2,sel5
pbc1,scanner1,bid12,con1,sel1
pbc1,scanner1,bid13,con2,sel1
pbc1,scanner1,bid14,con2,sel3
pbc1,scanner1,bid14,con1,sel1
pbc1,scanner1,bid15,con2,sel3
pbc1,scanner1,bid18,con2,sel4
pbc1,scanner1,bid18,con1,sel1
pbc1,scanner1,bid19,con2,sel1
pbc1,scanner1,bid22,con1,sel2
pbc1,scanner1,bid24,con2,sel2
pbc1,scanner1,bid24,con1,sel1
pbc1,scanner1,bid25,con1,sel2
pbc1,scanner1,bid26,con2,sel3
pbc1,scanner1,bid28,con2,sel1
pbc1,scanner1,bid29,con2,sel5
pbc1,scanner1,bid29,con1,sel2
pbc1,scanner1,bid31,con2,sel2
pbc1,scanner1,bid33,con1,sel1
pbc1,scanner1,bid34,con2,sel4
pbc1,scanner1,bid35,con1,sel2
pbc1,scanner1,bid36,con2,sel2
pbc1,scanner1,bid36,con1,sel1
pbc1,scanner1,bid37,con2,sel4
pbc1,scanner1,bid39,con2,sel3
pbc1,scanner1,bid40,con2,sel3
pbc1,scanner1,bid40,con1,sel2
pbc1,scanner1,bid42,con2,sel1
pbc1,scanner1,bid43,con1,sel1
pbc1,scanner1,bid44,con1,sel1
pbc1,scanner1,bid45,con2,sel1
pbc1,scanner1,bid47,con2,sel4
pbc1,scanner1,bid48,con1,sel1
pbc1,scanner1,bid51,con2,sel1
pbc1,scanner1,bid51,con1,sel1
pbc1,scanner1,bid52,con2,sel3
pbc1,scanner1,bid52,con1,sel1
pbc1,scanner1,bid53,con2,sel2
pbc1,scanner1,bid57,con2,sel4
pbc1,scanner1,bid57,con1,sel2
pbc1,scanner1,bid58,con2,sel3
pbc1,scanner1,bid58,con1,sel2
pbc1,scanner1,bid59,con2,sel3
pbc1,scanner1,bid59,con1,sel1
pbc1,scanner1,bid63,con2,sel1
pbc1,scanner1,bid63,con1,sel1
pbc1,scanner1,bid65,con2,sel5
pbc1,scanner1,bid65,con1,sel1
pbc1,scanner1,bid66,con1,sel1
pbc1,scanner1,bid67,con2,sel5
pbc1,scanner1,bid67,con1,sel1
pbc1,scanner1,bid70,con1,sel2
pbc1,scanner1,bid71,con1,sel1
pbc1,scanner1,bid72,con1,sel1
pbc1,scanner1,bid73,con2,sel2
pbc1,scanner1,bid73,con1,sel2
pbc1,scanner1,bid75,con1,sel2
pbc1,scanner1,bid76,con1,sel2
pbc1,scanner1,bid77,con2,sel1
pbc1,scanner1,bid77,con1,sel1
pbc1,scanner1,bid78,con2,sel5
pbc1,scanner1,bid79,con2,sel4
pbc1,scanner1,bid80,con2,sel5
pbc1,scanner1,bid82,con2,sel2
pbc1,scanner1,bid82,con1,sel1
pbc1,scanner1,bid83,con2,sel3
pbc1,scanner1,bid83,con1,sel2
pbc1,scanner1,bid84,con2,sel5
pbc1,scanner1,bid84,con1,sel2
pbc1,scanner1,bid85,con1,sel2
pbc1,scanner1,bid86,con2,sel4
pbc1,scanner1,bid87,con2,sel5
pbc1,scanner1,bid87,con1,sel2
pbc1,scanner1,bid89,con2,sel3
pbc1,scanner1,bid89,con1,sel2
pbc1,scanner1,bid90,con2,sel2
pbc1,scanner1,bid91,con2,sel2
pbc1,scanner1,bid91,con1,sel2
pbc1,scanner1,bid92,con2,sel1
pbc1,scanner1,bid92,con1,sel1
pbc1,scanner1,bid93,con1,sel2
pbc1,scanner1,bid94,con2,sel3
pbc1,scanner1,bid94,con1,sel1
pbc1,scanner1,bid95,con2,sel2
pbc1,scanner1,bid96,con1,sel2
pbc1,scanner1,bid97,con2,sel3
pbc1,scanner1,bid99,con2,sel2
pbc1,scanner1,bid99,con1,sel1
pbc1,scanner1,bid100,con2,sel1
pbc1,scanner1,bid100,con1,sel2
pbc1,scanner1,bid101,con2,sel3
pbc1,scanner1,bid103,con2,sel3
pbc1,scanner1,bid104,con1,sel2
pbc1,scanner1,bid105,con2,sel1
pbc1,scanner1,bid105,con1,sel2
pbc1,scanner1,bid107,con2,sel2
pbc1,scanner1,bid109,con2,sel1
pbc1,scanner1,bid111,con1,sel1
pbc1,scanner1,bid112,con1,sel2
pbc1,scanner1,bid113,con2,sel2
pbc1,scanner1,bid114,con2,sel3
pbc1,scanner1,bid115,con2,sel3
pbc1,scanner1,bid116,con1,sel2
pbc1,scanner1,bid118,con2,sel5
pbc1,scanner1,bid120,con2,sel5
pbc1,scanner1,bid121,con2,sel4
pbc1,scanner1,bid122,con2,sel1
pbc1,scanner1,bid125,con1,sel2
pbc1,scanner1,bid126,con2,sel2
pbc1,scanner1,bid127,con1,sel2
pbc1,scanner1,bid128,con2,sel3
pbc1,scanner1,bid128,con1,sel1
pbc1,scanner1,bid130,con2,sel5
pbc1,scanner1,bid130,con1,sel2
pbc1,scanner1,bid131,con2,sel3
pbc1,scanner1,bid131,con1,sel2
pbc1,scanner1,bid132,con2,sel3
pbc1,scanner1,bid136,con2,sel4
pbc1,scanner1,bid136,con1,sel1
pbc1,scanner1,bid137,con1,sel2
pbc1,scanner1,bid138,con2,sel5
pbc1,scanner1,bid138,con1,sel1
pbc1,scanner1,bid139,con1,sel2
pbc1,scanner1,bid140,con1,sel1
