Ballot order,Collection,Box,Position,Stamp,Ballot id,Comments
0,pbc2,box1,59,stmp001003,bid259,,
1,pbc2,box1,12,stmp000204,bid212,,
2,pbc2,box1,17,stmp000289,bid217,,
3,pbc2,box1,23,stmp000391,bid223,,
4,pbc2,box1,56,stmp000952,bid256,,
5,pbc2,box2,79,stmp003043,bid379,,
6,pbc2,box1,93,stmp001581,bid293,,
7,pbc2,box1,25,stmp000425,bid225,,
8,pbc2,box2,93,stmp003281,bid393,,
9,pbc2,box1,40,stmp000680,bid240,,
10,pbc2,box1,46,stmp000782,bid246,,
11,pbc2,box1,15,stmp000255,bid215,,
12,pbc2,box1,52,stmp000884,bid252,,
13,pbc2,box2,94,stmp003298,bid394,,
14,pbc2,box1,30,stmp000510,bid230,,
15,pbc2,box1,32,stmp000544,bid232,,
16,pbc2,box2,6,stmp001802,bid306,,
17,pbc2,box2,57,stmp002669,bid357,,
18,pbc2,box2,7,stmp001819,bid307,,
19,pbc2,box1,22,stmp000374,bid222,,
20,pbc2,box1,44,stmp000748,bid244,,
21,pbc2,box1,26,stmp000442,bid226,,
22,pbc2,box2,92,stmp003264,bid392,,
23,pbc2,box2,90,stmp003230,bid390,,
24,pbc2,box1,85,stmp001445,bid285,,
25,pbc2,box2,77,stmp003009,bid377,,
26,pbc2,box1,77,stmp001309,bid277,,
27,pbc2,box1,90,stmp001530,bid290,,
28,pbc2,box1,91,stmp001547,bid291,,
29,pbc2,box1,84,stmp001428,bid284,,
30,pbc2,box1,42,stmp000714,bid242,,
31,pbc2,box1,50,stmp000850,bid250,,
32,pbc2,box2,88,stmp003196,bid388,,
33,pbc2,box1,94,stmp001598,bid294,,
34,pbc2,box2,100,stmp001700,bid300,,
35,pbc2,box3,100,stmp003400,bid400,,
36,pbc2,box2,65,stmp002805,bid365,,
37,pbc2,box2,17,stmp001989,bid317,,
38,pbc2,box1,34,stmp000578,bid234,,
39,pbc2,box1,28,stmp000476,bid228,,
40,pbc2,box1,55,stmp000935,bid255,,
41,pbc2,box2,24,stmp002108,bid324,,
42,pbc2,box2,86,stmp003162,bid386,,
43,pbc2,box1,43,stmp000731,bid243,,
44,pbc2,box2,74,stmp002958,bid374,,
45,pbc2,box2,45,stmp002465,bid345,,
46,pbc2,box1,31,stmp000527,bid231,,
47,pbc2,box1,20,stmp000340,bid220,,
48,pbc2,box1,21,stmp000357,bid221,,
49,pbc2,box2,43,stmp002431,bid343,,
50,pbc2,box1,19,stmp000323,bid219,,
51,pbc2,box2,67,stmp002839,bid367,,
52,pbc2,box1,37,stmp000629,bid237,,
53,pbc2,box2,56,stmp002652,bid356,,
54,pbc2,box2,71,stmp002907,bid371,,
55,pbc2,box1,1,stmp000017,bid201,,
56,pbc2,box1,53,stmp000901,bid253,,
57,pbc2,box2,66,stmp002822,bid366,,
58,pbc2,box1,87,stmp001479,bid287,,
59,pbc2,box2,27,stmp002159,bid327,,
60,pbc2,box1,57,stmp000969,bid257,,
61,pbc2,box2,85,stmp003145,bid385,,
62,pbc2,box1,49,stmp000833,bid249,,
63,pbc2,box2,23,stmp002091,bid323,,
64,pbc2,box1,2,stmp000034,bid202,,
65,pbc2,box2,39,stmp002363,bid339,,
66,pbc2,box1,72,stmp001224,bid272,,
67,pbc2,box1,86,stmp001462,bid286,,
68,pbc2,box2,76,stmp002992,bid376,,
69,pbc2,box2,68,stmp002856,bid368,,
70,pbc2,box1,5,stmp000085,bid205,,
71,pbc2,box2,28,stmp002176,bid328,,
72,pbc2,box1,14,stmp000238,bid214,,
73,pbc2,box2,91,stmp003247,bid391,,
74,pbc2,box2,38,stmp002346,bid338,,
75,pbc2,box2,3,stmp001751,bid303,,
76,pbc2,box1,27,stmp000459,bid227,,
77,pbc2,box1,62,stmp001054,bid262,,
78,pbc2,box2,78,stmp003026,bid378,,
79,pbc2,box1,66,stmp001122,bid266,,
80,pbc2,box2,73,stmp002941,bid373,,
81,pbc2,box2,52,stmp002584,bid352,,
82,pbc2,box1,64,stmp001088,bid264,,
83,pbc2,box2,35,stmp002295,bid335,,
84,pbc2,box2,84,stmp003128,bid384,,
85,pbc2,box1,92,stmp001564,bid292,,
86,pbc2,box2,62,stmp002754,bid362,,
87,pbc2,box1,36,stmp000612,bid236,,
88,pbc2,box1,61,stmp001037,bid261,,
89,pbc2,box1,76,stmp001292,bid276,,
90,pbc2,box2,8,stmp001836,bid308,,
91,pbc2,box1,71,stmp001207,bid271,,
92,pbc2,box1,80,stmp001360,bid280,,
93,pbc2,box1,96,stmp001632,bid296,,
