Ballot order,Collection,Box,Position,Stamp,Ballot id,Comments
0,pbc1,box1,49,stmp000833,bid49,,
1,pbc1,box2,30,stmp002210,bid130,,
2,pbc1,box1,34,stmp000578,bid34,,
3,pbc1,box1,2,stmp000034,bid2,,
4,pbc1,box1,64,stmp001088,bid64,,
5,pbc1,box2,61,stmp002737,bid161,,
6,pbc1,box1,99,stmp001683,bid99,,
7,pbc1,box2,14,stmp001938,bid114,,
8,pbc1,box1,68,stmp001156,bid68,,
9,pbc1,box2,96,stmp003332,bid196,,
10,pbc1,box1,90,stmp001530,bid90,,
11,pbc1,box2,9,stmp001853,bid109,,
12,pbc1,box2,4,stmp001768,bid104,,
13,pbc1,box2,86,stmp003162,bid186,,
14,pbc1,box2,39,stmp002363,bid139,,
15,pbc1,box1,65,stmp001105,bid65,,
16,pbc1,box2,37,stmp002329,bid137,,
17,pbc1,box2,49,stmp002533,bid149,,
18,pbc1,box1,36,stmp000612,bid36,,
19,pbc1,box1,38,stmp000646,bid38,,
20,pbc1,box1,91,stmp001547,bid91,,
21,pbc1,box2,63,stmp002771,bid163,,
22,pbc1,box1,85,stmp001445,bid85,,
23,pbc1,box1,67,stmp001139,bid67,,
24,pbc1,box1,82,stmp001394,bid82,,
25,pbc1,box1,75,stmp001275,bid75,,
26,pbc1,box2,53,stmp002601,bid153,,
27,pbc1,box1,24,stmp000408,bid24,,
28,pbc1,box2,54,stmp002618,bid154,,
29,pbc1,box1,80,stmp001360,bid80,,
30,pbc1,box2,51,stmp002567,bid151,,
31,pbc1,box2,87,stmp003179,bid187,,
32,pbc1,box1,45,stmp000765,bid45,,
33,pbc1,box2,97,stmp003349,bid197,,
34,pbc1,box1,14,stmp000238,bid14,,
35,pbc1,box2,43,stmp002431,bid143,,
36,pbc1,box2,41,stmp002397,bid141,,
37,pbc1,box1,11,stmp000187,bid11,,
38,pbc1,box1,58,stmp000986,bid58,,
39,pbc1,box2,80,stmp003060,bid180,,
40,pbc1,box1,44,stmp000748,bid44,,
41,pbc1,box2,16,stmp001972,bid116,,
42,pbc1,box2,68,stmp002856,bid168,,
43,pbc1,box1,94,stmp001598,bid94,,
44,pbc1,box2,89,stmp003213,bid189,,
45,pbc1,box2,95,stmp003315,bid195,,
46,pbc1,box2,90,stmp003230,bid190,,
47,pbc1,box2,22,stmp002074,bid122,,
48,pbc1,box1,96,stmp001632,bid96,,
49,pbc1,box2,48,stmp002516,bid148,,
50,pbc1,box2,72,stmp002924,bid172,,
51,pbc1,box2,7,stmp001819,bid107,,
52,pbc1,box2,100,stmp001700,bid100,,
53,pbc1,box1,40,stmp000680,bid40,,
54,pbc1,box1,57,stmp000969,bid57,,
55,pbc1,box1,77,stmp001309,bid77,,
56,pbc1,box1,95,stmp001615,bid95,,
57,pbc1,box1,41,stmp000697,bid41,,
58,pbc1,box1,21,stmp000357,bid21,,
59,pbc1,box2,59,stmp002703,bid159,,
60,pbc1,box1,98,stmp001666,bid98,,
61,pbc1,box2,62,stmp002754,bid162,,
62,pbc1,box2,56,stmp002652,bid156,,
63,pbc1,box1,19,stmp000323,bid19,,
64,pbc1,box1,69,stmp001173,bid69,,
