Collection,Ballot id,Contest,Selections
pbc2,bid205,con1,sel3
pbc2,bid206,con1,sel2
pbc2,bid207,con1,sel1
pbc2,bid208,con1,sel1
pbc2,bid209,con1,sel2
pbc2,bid211,con1,sel5
pbc2,bid214,con1,sel4
pbc2,bid215,con1,sel5
pbc2,bid216,con1,sel4
pbc2,bid219,con1,sel3
pbc2,bid221,con1,sel3
pbc2,bid225,con1,sel3
pbc2,bid226,con1,sel1
pbc2,bid228,con1,sel5
pbc2,bid229,con1,sel1
pbc2,bid230,con1,sel3
pbc2,bid233,con1,sel5
pbc2,bid234,con1,sel3
pbc2,bid235,con1,sel5
pbc2,bid236,con1,sel3
pbc2,bid237,con1,sel1
pbc2,bid244,con1,sel4
pbc2,bid245,con1,sel2
pbc2,bid247,con1,sel3
pbc2,bid248,con1,sel4
pbc2,bid249,con1,sel2
pbc2,bid252,con1,sel4
pbc2,bid255,con1,sel5
pbc2,bid256,con1,sel2
pbc2,bid257,con1,sel2
pbc2,bid260,con1,sel4
pbc2,bid261,con1,sel5
pbc2,bid262,con1,sel2
pbc2,bid264,con1,sel1
pbc2,bid267,con1,sel1
pbc2,bid268,con1,sel3
pbc2,bid270,con1,sel1
pbc2,bid271,con1,sel5
pbc2,bid272,con1,sel1
pbc2,bid273,con1,sel3
pbc2,bid276,con1,sel1
pbc2,bid277,con1,sel3
pbc2,bid278,con1,sel1
pbc2,bid279,con1,sel3
pbc2,bid282,con1,sel2
pbc2,bid284,con1,sel4
pbc2,bid285,con1,sel5
pbc2,bid287,con1,sel4
pbc2,bid290,con1,sel2
pbc2,bid291,con1,sel1
pbc2,bid292,con1,sel5
pbc2,bid294,con1,sel4
pbc2,bid297,con1,sel4
pbc2,bid298,con1,sel5
pbc2,bid299,con1,sel1
pbc2,bid300,con1,sel3
pbc2,bid302,con1,sel1
pbc2,bid306,con1,sel3
pbc2,bid310,con1,sel2
pbc2,bid312,con1,sel4
pbc2,bid313,con1,sel1
pbc2,bid315,con1,sel5
pbc2,bid317,con1,sel5
pbc2,bid319,con1,sel5
pbc2,bid320,con1,sel1
pbc2,bid321,con1,sel5
pbc2,bid323,con1,sel5
pbc2,bid324,con1,sel4
pbc2,bid325,con1,sel2
pbc2,bid327,con1,sel4
pbc2,bid328,con1,sel1
pbc2,bid329,con1,sel3
pbc2,bid332,con1,sel1
pbc2,bid333,con1,sel5
pbc2,bid335,con1,sel2
pbc2,bid336,con1,sel3
pbc2,bid339,con1,sel5
pbc2,bid340,con1,sel5
pbc2,bid341,con1,sel5
pbc2,bid342,con1,sel5
pbc2,bid343,con1,sel2
pbc2,bid344,con1,sel5
pbc2,bid345,con1,sel1
pbc2,bid348,con1,sel3
pbc2,bid350,con1,sel5
pbc2,bid352,con1,sel4
pbc2,bid356,con1,sel3
pbc2,bid357,con1,sel1
pbc2,bid362,con1,sel5
pbc2,bid363,con1,sel5
pbc2,bid365,con1,sel1
pbc2,bid366,con1,sel4
pbc2,bid367,con1,sel1
pbc2,bid368,con1,sel3
pbc2,bid371,con1,sel2
pbc2,bid372,con1,sel2
pbc2,bid373,con1,sel3
pbc2,bid377,con1,sel1
pbc2,bid380,con1,sel4
pbc2,bid381,con1,sel5
pbc2,bid382,con1,sel1
pbc2,bid383,con1,sel4
pbc2,bid385,con1,sel3
pbc2,bid388,con1,sel2
pbc2,bid389,con1,sel4
pbc2,bid390,con1,sel1
pbc2,bid391,con1,sel3
pbc2,bid393,con1,sel5
pbc2,bid395,con1,sel1
pbc2,bid400,con1,sel2
pbc2,bid202,con2,sel2
pbc2,bid203,con2,sel2
pbc2,bid204,con2,sel2
pbc2,bid208,con2,sel1
pbc2,bid209,con2,sel2
pbc2,bid210,con2,sel2
pbc2,bid214,con2,sel2
pbc2,bid217,con2,sel1
pbc2,bid219,con2,sel1
pbc2,bid223,con2,sel1
pbc2,bid224,con2,sel1
pbc2,bid225,con2,sel1
pbc2,bid226,con2,sel1
pbc2,bid227,con2,sel1
pbc2,bid228,con2,sel2
pbc2,bid230,con2,sel2
pbc2,bid231,con2,sel1
pbc2,bid236,con2,sel1
pbc2,bid237,con2,sel1
