Collection,Ballot id,Contest,Selections
pbc2,bid205,con2,sel3
pbc2,bid206,con2,sel2
pbc2,bid207,con2,sel1
pbc2,bid208,con2,sel1
pbc2,bid209,con2,sel2
pbc2,bid211,con2,sel5
pbc2,bid214,con2,sel4
pbc2,bid215,con2,sel5
pbc2,bid216,con2,sel4
pbc2,bid219,con2,sel3
pbc2,bid221,con2,sel3
pbc2,bid225,con2,sel3
pbc2,bid226,con2,sel1
pbc2,bid228,con2,sel5
pbc2,bid229,con2,sel1
pbc2,bid230,con2,sel3
pbc2,bid233,con2,sel5
pbc2,bid234,con2,sel3
pbc2,bid235,con2,sel5
pbc2,bid236,con2,sel3
pbc2,bid237,con2,sel1
pbc2,bid244,con2,sel4
pbc2,bid245,con2,sel2
pbc2,bid247,con2,sel3
pbc2,bid248,con2,sel4
pbc2,bid249,con2,sel2
pbc2,bid252,con2,sel4
pbc2,bid255,con2,sel5
pbc2,bid256,con2,sel2
pbc2,bid257,con2,sel2
pbc2,bid260,con2,sel4
pbc2,bid261,con2,sel5
pbc2,bid262,con2,sel2
pbc2,bid264,con2,sel1
pbc2,bid267,con2,sel1
pbc2,bid268,con2,sel3
pbc2,bid270,con2,sel1
pbc2,bid271,con2,sel5
pbc2,bid272,con2,sel1
pbc2,bid273,con2,sel3
pbc2,bid276,con2,sel1
pbc2,bid277,con2,sel3
pbc2,bid278,con2,sel1
pbc2,bid279,con2,sel3
pbc2,bid282,con2,sel2
pbc2,bid284,con2,sel4
pbc2,bid285,con2,sel5
pbc2,bid287,con2,sel4
pbc2,bid290,con2,sel2
pbc2,bid291,con2,sel1
pbc2,bid292,con2,sel5
pbc2,bid294,con2,sel4
pbc2,bid297,con2,sel4
pbc2,bid298,con2,sel5
pbc2,bid299,con2,sel1
pbc2,bid300,con2,sel3
pbc2,bid302,con2,sel1
pbc2,bid306,con2,sel3
pbc2,bid310,con2,sel2
pbc2,bid312,con2,sel4
pbc2,bid313,con2,sel1
pbc2,bid315,con2,sel5
pbc2,bid317,con2,sel5
pbc2,bid319,con2,sel5
pbc2,bid320,con2,sel1
pbc2,bid321,con2,sel5
pbc2,bid323,con2,sel5
pbc2,bid324,con2,sel4
pbc2,bid325,con2,sel2
pbc2,bid327,con2,sel4
pbc2,bid328,con2,sel1
pbc2,bid329,con2,sel3
pbc2,bid332,con2,sel1
pbc2,bid333,con2,sel5
pbc2,bid335,con2,sel2
pbc2,bid336,con2,sel3
pbc2,bid339,con2,sel5
pbc2,bid340,con2,sel5
pbc2,bid341,con2,sel5
pbc2,bid342,con2,sel5
pbc2,bid343,con2,sel2
pbc2,bid344,con2,sel5
pbc2,bid345,con2,sel1
pbc2,bid348,con2,sel3
pbc2,bid350,con2,sel5
pbc2,bid352,con2,sel4
pbc2,bid356,con2,sel3
pbc2,bid357,con2,sel1
pbc2,bid362,con2,sel5
pbc2,bid363,con2,sel5
pbc2,bid365,con2,sel1
pbc2,bid366,con2,sel4
pbc2,bid367,con2,sel1
pbc2,bid368,con2,sel3
pbc2,bid371,con2,sel2
pbc2,bid372,con2,sel2
pbc2,bid373,con2,sel3
pbc2,bid377,con2,sel1
pbc2,bid380,con2,sel4
pbc2,bid381,con2,sel5
pbc2,bid382,con2,sel1
pbc2,bid383,con2,sel4
pbc2,bid385,con2,sel3
pbc2,bid388,con2,sel2
pbc2,bid389,con2,sel4
pbc2,bid390,con2,sel1
pbc2,bid391,con2,sel3
pbc2,bid393,con2,sel5
pbc2,bid395,con2,sel1
pbc2,bid400,con2,sel2
pbc2,bid202,con1,sel2
pbc2,bid203,con1,sel2
pbc2,bid204,con1,sel2
pbc2,bid208,con1,sel1
pbc2,bid209,con1,sel2
pbc2,bid210,con1,sel2
pbc2,bid214,con1,sel2
pbc2,bid217,con1,sel1
pbc2,bid219,con1,sel1
pbc2,bid223,con1,sel1
pbc2,bid224,con1,sel1
pbc2,bid225,con1,sel1
pbc2,bid226,con1,sel1
pbc2,bid227,con1,sel1
pbc2,bid228,con1,sel2
pbc2,bid230,con1,sel2
pbc2,bid231,con1,sel1
pbc2,bid236,con1,sel1
pbc2,bid237,con1,sel1
pbc2,bid238,con1,sel1
pbc2,bid241,con1,sel2
pbc2,bid242,con1,sel2
pbc2,bid243,con1,sel2
pbc2,bid244,con1,sel1
pbc2,bid246,con1,sel2
pbc2,bid247,con1,sel1
pbc2,bid249,con1,sel1
pbc2,bid253,con1,sel2
pbc2,bid254,con1,sel1
pbc2,bid256,con1,sel1
pbc2,bid259,con1,sel2
pbc2,bid260,con1,sel2
pbc2,bid263,con1,sel1
pbc2,bid265,con1,sel2
pbc2,bid267,con1,sel2
pbc2,bid268,con1,sel1
pbc2,bid269,con1,sel2
pbc2,bid270,con1,sel1
pbc2,bid273,con1,sel1
pbc2,bid275,con1,sel1
pbc2,bid277,con1,sel1
pbc2,bid278,con1,sel1
pbc2,bid282,con1,sel2
pbc2,bid284,con1,sel1
pbc2,bid285,con1,sel2
pbc2,bid286,con1,sel2
pbc2,bid287,con1,sel1
pbc2,bid288,con1,sel2
pbc2,bid289,con1,sel2
pbc2,bid290,con1,sel2
